=,1_1,1_2,1_3,1_4,1_5,1_6,2_1,2_2,2_3,2_4,2_5,2_6,3_1,3_2,3_3,3_4,3_5,3_6,4_1,4_2,4_3,4_4,4_5,4_6
0.8403332052,0.8314340765,0.5964552304,0.4192929364,0.2620039376,0.173166418,0.1251628622,0.1077030054,0.2875527914,0.227676533,0.6668958072,0.2792074218,0.2748756092,0.5416622215,0.2095448032,0.3367144439,0.1481479902,0.5259085684,0.5252897381,0.2926095195,0.7004187323,0.356543537,0.2475321474,0.3374658808,0.4768972032
0.848537548,0.8453640175,0.6027849811,0.4262415174,0.2843437139,0.1830323421,0.1392810351,0.0958391432,0.2784559849,0.2257139567,0.7347991795,0.3190866188,0.2801179865,0.6132608951,0.2056550123,0.386945789,0.1544158578,0.5591220783,0.6065510059,0.2947754258,0.771548863,0.3559158662,0.2548697075,0.3566584626,0.4891942467
0.8687237232,0.8637459363,0.640197697,0.4536999049,0.3003979417,0.1951083747,0.1607721297,0.0801668221,0.2660616967,0.2554089739,0.8021809662,0.3791043242,0.2837514048,0.6992341142,0.1983881757,0.476057362,0.1547341134,0.5644793812,0.6780877965,0.3143569867,0.8361901152,0.3553854402,0.2597142652,0.3640755866,0.4797968655
0.8532352445,0.8520833769,0.6667455199,0.4662710018,0.3064005963,0.2008104546,0.1701606705,0.0656083957,0.2460734758,0.3138354011,0.8413352477,0.4445058537,0.2712775527,0.7615061301,0.1999175707,0.6008666069,0.1588449152,0.5414058489,0.7147048734,0.3246030496,0.8943866911,0.3349286763,0.2521026517,0.3744896177,0.4405364989
0.8494054446,0.8478765148,0.6361929805,0.4480420272,0.2958097566,0.1948254809,0.1582614465,0.0526253345,0.2100045058,0.3763991514,0.8304438332,0.5097570958,0.2416178971,0.7676148699,0.1785767635,0.6713513859,0.1650508997,0.4967881794,0.7174896101,0.3153294345,0.9076473419,0.3173804151,0.230753004,0.359947104,0.3783528873
0.8583029587,0.8577021466,0.6471374376,0.4591986547,0.3057906064,0.2037719999,0.1646442397,0.0449200124,0.20295868,0.4765789476,0.8622517141,0.5951380058,0.2443672721,0.7827585331,0.1841550772,0.7389983856,0.1889200711,0.4918640577,0.7470343399,0.319396034,0.9472524854,0.3222780155,0.2366495733,0.3826228168,0.3763726301
0.8598945451,0.8639360495,0.7051306836,0.5165553894,0.3565081753,0.2367379777,0.2075999078,0.0321570781,0.224600062,0.7121057859,1.0025936012,0.8153532126,0.2872345357,0.8548345901,0.2043996707,0.9305440655,0.2629852257,0.5603155369,0.8797204114,0.3608134665,1.1060266771,0.3746664264,0.2830883723,0.4789039817,0.4304760852
0.8363148132,0.8411654391,0.6789011164,0.5103494049,0.3603184023,0.2373126059,0.2131517002,0.0185649111,0.224865275,0.8350143375,1.0529840741,0.9524683414,0.3027406567,0.9385888603,0.2139031371,0.9940183804,0.3141624972,0.5915664705,0.9519379154,0.4250745801,1.2777079022,0.411990738,0.3155946475,0.5607840799,0.4492796879
0.8404200199,0.84420191,0.6625905159,0.5009520237,0.3648800661,0.2348991674,0.2156623834,0.0103052937,0.2168204802,0.8866955137,1.0543101392,1.0224845774,0.3147194445,0.9789896429,0.2254929458,1.0117876524,0.3530515656,0.5918582048,0.9749230433,0.4637779994,1.3757483134,0.4313424477,0.3299603525,0.6061708672,0.4563697159
0.8403367946,0.8445384785,0.711089136,0.525961611,0.3951320307,0.2648770786,0.2575041568,0.0053648173,0.2279329056,0.9527335544,1.1287465921,1.1217626493,0.3557302171,1.0017095579,0.2351820613,1.0852516576,0.4109387264,0.6218626373,1.0299989461,0.4711509212,1.4204809086,0.4449567158,0.3468721024,0.6554032432,0.4897423536
0.8208624973,0.8318620548,0.7321293685,0.5478151635,0.4117078441,0.2903728898,0.3076647783,4.13732303487152E-05,0.2477001156,0.957065367,1.1620750276,1.1461622467,0.417206594,1.0521884351,0.239761406,1.0998383734,0.4588273565,0.6612556104,1.0422871492,0.4729632102,1.4995143871,0.4553177042,0.3647651405,0.686167953,0.5390542935
0.8153281545,0.8348960302,0.7041670763,0.5437043617,0.4105762686,0.3090880882,0.3583558259,0,0.2475586687,0.8388952879,1.0979818823,1.0416683188,0.4847740298,1.091351557,0.220462739,0.9819069861,0.4350554299,0.6861237508,0.9935763587,0.4812643776,1.6083401276,0.4546369908,0.3702462095,0.6585504377,0.5745663163
0.8166715128,0.8362716291,0.7041670763,0.5437043617,0.4105762686,0.3090880882,0.3583558259,0,0.2475586687,0.8388952879,1.0979818823,1.0416683188,0.4847740298,1.091351557,0.220462739,0.9819069861,0.4350554299,0.6861237508,0.9935763587,0.4812643776,1.6083401276,0.4546369908,0.3702462095,0.6585504377,0.5745663163
0.807938999,0.827329535,0.7041670763,0.5437043617,0.4105762686,0.3090880882,0.3583558259,0,0.2475586687,0.8388952879,1.0979818823,1.0416683188,0.4847740298,1.091351557,0.220462739,0.9819069861,0.4350554299,0.6861237508,0.9935763587,0.4812643776,1.6083401276,0.4546369908,0.3702462095,0.6585504377,0.5745663163
